Product Name (Comm+E3:I44on Listing),Category,Function/Key Feature,Hypothesized SKU,Typical Price Range (INR),Q-Commerce Suitability
Arduino Uno R3 Compatible Board,Microcontroller/SBC,Prototyping/Learning (ATmega328P),DEV-UNO-R3,400 - 650,Medium (High Value)
Arduino Nano V3 Compatible (CH340),Microcontroller/SBC,Compact Prototyping (CH340 driver),DEV-NANO-CH340,180 - 250,High (Small Footprint)
"ESP32 Dev Board (30-pin, CP2102/CH340)",IoT/Wireless Board,"Wi-Fi/BT MCU Module, NodeMCU ",DEV-ESP32-30P,350 - 450,High (Primary IoT item)
Raspberry Pi Pico,Microcontroller/SBC,"RP2040 MCU, Low Power",DEV-PICO,300 - 400,Medium (High Demand)
HC-SR04 Ultrasonic Sensor Module,Sensor Module,Distance Measurement (2cm-4m) ,SNS-HCSR04,50 - 80,High (Very Common)
DHT11 Humidity & Temperature Sensor Module,Sensor Module,Basic Environmental Sensing ,SNS-DHT11-MOD,60 - 100,High (Very Common)
PIR Motion Sensor (HC-SR501),Sensor Module,Passive Infrared Detection ,SNS-PIR-501,55 - 75,High (Security/Automation)
555 Timer IC (NE555P),Integrated Circuit,Timer/Oscillator,IC-NE555P,May-15,High (Discrete)
LM358 Dual Op-Amp IC,Integrated Circuit,General Purpose Op-Amp ,IC-LM358,08-Dec,High (Discrete)
7805 Voltage Regulator IC (TO-220),Integrated Circuit,5V Fixed Linear Regulator ,IC-7805-T220,08-Dec,High (Discrete)
L298N Motor Driver Module,Driver Module,Dual H-Bridge DC/Stepper Control,MOD-L298N,150 - 250,Medium (Robotics Essential)
ULN2003 Driver IC,Integrated Circuit,Darlington Transistor Array,IC-ULN2003,Oct-20,High (Discrete)
74HC595 Shift Register IC,Integrated Circuit,"8-bit Serial-in, Parallel-out ",IC-74HC595,15 - 30,High (Discrete)
BC547 NPN Transistor (Pack of 10),Transistor,General Purpose NPN Switching ,TR-BC547-10X,15 - 30,"High (Discrete, Bulk)"
